"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"California College of the Arts",NA,"San Francisco","CA","www.cca.edu/",2,3,4,11,0,0,0,0,0,0,0,0,0,NA,0.734,NA,NA,NA,NA,NA,NA,NA,1004,31650223,32800,28423,42404,44139,52438,49414,0.3915,-243,0.915796361074062,7,1,21165,21408,40798,57946,57946
"California Institute of Technology","Caltech","Pasadena","CA","www.caltech.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.0314,NA,NA,NA,NA,NA,NA,NA,1023,31650223,1667,1023,7003,22073,56275,128566,0.7863,72,NA,3,1,19503,19431,NA,63255,63255
"California Lutheran University",NA,"Thousand Oaks","CA","www.callutheran.edu/",2,3,4,12,0,0,0,0,0,1,0,0,0,39,0.8888,1224,1200,23,29,26,1140,1320,2374,31650223,17414,18518,23759,23547,32409,68712,0.665,-1697,0.916312031794042,13,1,17734,19431,56378,50670,50670
"California Polytechnic State University-San Luis Obispo","Cal Poly","San Luis Obispo","CA","calpoly.edu/",1,3,4,23,0,0,0,0,1,0,0,0,0,NA,0.2975,NA,NA,NA,NA,NA,NA,NA,21521,31650223,NA,NA,NA,NA,NA,90768,0.6115,-822,0.899554990464081,18,1,17220,18042,70170,11075,30995
"California State University-Bakersfield","CSU Bakersfield","Bakersfield","CA","www.csub.edu/",1,3,4,11,0,0,0,0,0,1,0,0,0,NA,0.8819,NA,NA,NA,NA,NA,NA,NA,8183,31650223,NA,NA,NA,NA,NA,59009,0.2762,-1886,0.850408801857273,16,1,14430,16316,45284,7696,19576
"California State University-Stanislaus","Stanislaus State","Turlock","CA","https://www.csustan.edu/",1,3,4,23,0,0,0,0,0,1,0,0,0,NA,0.9747,NA,NA,NA,NA,NA,NA,NA,8564,31650223,NA,NA,NA,NA,NA,63188,0.2562,-7024,0.963845388255845,16,1,12728,19752,48173,7826,19706
"California State University-San Bernardino","Cal State San Bernardino","San Bernardino","CA","www.csusb.edu/",1,3,4,12,0,0,0,0,0,1,0,0,0,NA,0.9825,NA,NA,NA,NA,NA,NA,NA,15771,31650223,NA,NA,NA,NA,NA,59977,0.2396,-4009,0.911615783963937,19,1,12996,17005,42500,7675,19555
"California State Polytechnic University-Pomona",NA,"Pomona","CA","www.cpp.edu/",1,3,4,21,0,0,0,0,1,1,0,0,0,NA,0.737,NA,NA,NA,NA,NA,NA,NA,24271,31650223,NA,NA,NA,NA,NA,71902,0.2912,-1606,0.926368906271826,23,1,16330,17936,54815,7439,19319
"California State University-Chico",NA,"Chico","CA","www.csuchico.edu/",1,3,4,12,0,0,0,0,0,1,0,0,0,NA,0.9372,NA,NA,NA,NA,NA,NA,NA,13057,31650223,NA,NA,NA,NA,NA,64172,0.3312,4740,0.862699053349967,20,1,16020,11280,51379,8064,19944
"California State University-Dominguez Hills","CSUDH","Carson","CA","https://www.csudh.edu/",1,3,4,13,0,0,0,0,0,1,0,0,0,NA,0.9132,NA,NA,NA,NA,NA,NA,NA,12642,31650223,NA,NA,NA,NA,NA,57162,0.1774,-3372,0.975507332878581,18,1,16886,20258,49896,7064,18944
